'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1827;46379;999;'';'';'';;;;;4309;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46379;999;'';'';'';;;;;4573;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46379;999;'';'';'';;;;;4665;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46379;999;'';'';'';;;;;4462;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46348;999;'';'';'';;;;;1517;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46348;999;'';'';'';;;;;1609;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46348;999;'';'';'';;;;;1708;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46348;999;'';'';'';;;;;1743;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46348;999;'';'';'';;;;;1667;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46338;999;'';'';'';;;;;2436;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46338;999;'';'';'';;;;;2645;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46338;999;'';'';'';;;;;2808;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46338;999;'';'';'';;;;;2864;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46338;999;'';'';'';;;;;2739;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46315;999;'';'';'';;;;;23788;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46315;999;'';'';'';;;;;16724;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46315;999;'';'';'';;;;;17749;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46315;999;'';'';'';;;;;;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
