'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
3;51817;999;'';'';'';;;;;68378;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52117;999;'';'';'';;;;;45486;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52318;999;'';'';'';;;;;62397;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52521;999;'';'';'';;;;;146928;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52883;999;'';'';'';;;;;122679;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52933;999;'';'';'';;;;;121952;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;52958;999;'';'';'';;;;;195265;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53021;999;'';'';'';;;;;57927;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53056;999;'';'';'';;;;;86704;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53095;999;'';'';'';;;;;168579;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53117;999;'';'';'';;;;;49613;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53148;999;'';'';'';;;;;4161;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
3;53334;999;'';'';'';;;;;4865;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;44157;999;'';'';'';;;;;119380;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;44341;999;'';'';'';;;;;163713;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;44670;999;'';'';'';;;;;229377;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;44842;999;'';'';'';;;;;175111;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;46199;999;'';'';'';;;;;88558;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;46426;999;'';'';'';;;;;47677;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;46706;999;'';'';'';;;;;67149;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;46949;999;'';'';'';;;;;38083;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;47192;999;'';'';'';;;;;52907;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;48091;999;'';'';'';;;;;29442;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;48786;999;'';'';'';;;;;128939;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;49114;999;'';'';'';;;;;119288;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;49641;999;'';'';'';;;;;36801;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;49895;999;'';'';'';;;;;78258;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;50132;999;'';'';'';;;;;98704;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;50591;999;'';'';'';;;;;81126;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;50940;999;'';'';'';;;;;95828;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;51442;999;'';'';'';;;;;65210;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;51817;999;'';'';'';;;;;79733;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52117;999;'';'';'';;;;;45786;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52318;999;'';'';'';;;;;62450;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52521;999;'';'';'';;;;;145947;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52883;999;'';'';'';;;;;132025;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52933;999;'';'';'';;;;;132871;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;52958;999;'';'';'';;;;;204944;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;53021;999;'';'';'';;;;;54042;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;53056;999;'';'';'';;;;;70134;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;53095;999;'';'';'';;;;;166096;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
4;53117;999;'';'';'';;;;;61652;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
